adj_score,rd_score,player_name,round_date,year,month,quarter,season_phase,tournament_tier_field_strength,tournament_tier_top50_av,elo_rating_pre_rd,wd_percentage_adj,tour,field_strength,tour_tier,tour_0_to_1_year_count,tour_0_to_1_year_percentage,tour_0_to_1_year_mode,tour_0_to_3_year_count,tour_0_to_3_year_percentage,tour_0_to_3_year_mode,tour_0_to_5_year_count,tour_0_to_5_year_percentage,tour_0_to_5_year_mode,tour_0_to_10_year_count,tour_0_to_10_year_percentage,tour_0_to_10_year_mode,1_tournament_mean,1_tournament_count,1_rd_mean,days_since_1_rd,2_to_4_rd_mean,5_to_12_rd_mean,13_to_28_rd_mean,29_to_60_rd_mean,61_to_120_rd_mean,121_to_240_rd_mean,1_to_20_rd_mean,0_to_20_rd_sd,days_since_20_rd,1_to_20_rd_mean_days_penalty_15x,1_to_50_rd_mean,1_to_50_rd_median,1_to_50_rd_sd,days_since_50_rd
73.21539165,72,chieh jessica peng,2024-12-20,2024,12,4,late_season,9,13,1274,0.013216085,tlpga,75.56473612,15,26,0.388059701,epson,40,0.210526316,epson,64,0.273504274,epson,135,0.300668151,epson,74.21385577,3,70.82211257,1,73.96255131,73.39020308,75.37443456,73.82730776,74.05159491,74.01794147,73.97774268,2.550378851,90.0,72.39660385,74.22883137,74.41184486,2.430071466,231
73.21539165,72,min lee,2024-12-20,2024,12,4,late_season,9,13,1271,0.00629101,tlpga,75.56473612,15,20,0.303030303,lpga,33,0.153488372,lpga,59,0.197986577,lpga,82,0.100244499,lpga,72.84784043,3,76.89257936,1,73.30611049,73.45046291,73.36876756,73.1977175,73.16381055,72.56886362,73.62270389,2.597272162,90.0,72.04156506,73.16823328,73.60358176,2.488038695,218
73.21539165,72,mind muangkhumsakul,2024-12-20,2024,12,4,late_season,9,13,1274,0.0025,tlpga,75.56473612,15,33,1.0,tlpga,33,0.559322034,tlpga,33,0.292035398,lpga,33,0.143478261,epson,74.9061941,3,73.85734596,1,74.31214393,77.72089099,76.40493198,74.58834385,73.76070245,73.60074187,76.14621048,3.025574296,141.0,74.8829826,75.68006918,75.09446035,2.830100005,916
73.21539165,72,p.k. kongkraphan,2024-12-20,2024,12,4,late_season,9,13,1277,0.0025,tlpga,75.56473612,15,37,0.637931034,tlpga,71,0.458064516,tlpga,71,0.33490566,thai,71,0.097796143,thai,75.60846738,3,72.8456015,1,76.36131692,72.57862145,71.80862612,72.54434617,72.78828695,73.11575521,72.41719203,3.232824054,83.0,70.77072813,72.49029714,72.82895017,2.847239772,300
77.28291341,76,pei-yun chien,2024-12-20,2024,12,4,late_season,9,13,1272,0.005840049,tlpga,75.56473612,15,5,0.047619048,lpga,11,0.043650794,lpga,16,0.044077135,lpga,70,0.071794872,lpga,73.47954339,2,70.82211257,1,73.08605831,71.01021934,71.96430462,71.29088793,71.59869534,71.91915787,71.43896447,3.22113612,89.0,69.84896765,71.31157351,71.54992536,3.040734617,175
70.16475034,69,wei-ling hsu,2024-12-20,2024,12,4,late_season,9,13,1270,0.0025,tlpga,75.56473612,15,12,0.130434783,lpga,25,0.100806452,lpga,34,0.099415205,lpga,55,0.058324496,lpga,72.66051105,2,73.85734596,1,71.87060075,71.21520731,71.51870926,71.65268384,72.02367312,72.04471723,71.46272029,2.136190847,89.0,69.87272347,71.52705868,71.62003354,2.19717862,194
72.19851121,71,yani tseng,2024-12-20,2024,12,4,late_season,9,13,1275,0.032389147,tlpga,75.56473612,15,12,0.307692308,lpga,17,0.386363636,lpga,29,0.402777778,lpga,38,0.035414725,lpga,76.77826871,2,74.86909043,1,76.28936253,74.09289605,76.41885525,77.7944751,74.20206054,72.72611247,75.15052502,2.441756256,182.0,74.03865105,76.44402514,75.7716396,2.841924915,1282
78.29979385,77,yu-sang hou,2024-12-20,2024,12,4,late_season,9,13,1274,0.004759374,tlpga,75.56473612,15,10,0.11627907,epson,20,0.090497738,lpga,37,0.135036496,lpga,76,0.194871795,lpga,72.49672385,4,77.90432382,1,73.0530072,72.70666586,73.01728714,73.11304595,72.92359419,73.4460049,72.84629703,2.222548969,84.0,71.20966285,72.97752226,72.79458421,2.249441511,181
70.82211257,70,chieh jessica peng,2024-12-19,2024,12,4,late_season,10,13,1274,0.013319245,tlpga,76.19374555,15,25,0.378787879,epson,39,0.206349206,epson,63,0.270386266,epson,134,0.299107143,epson,74.21385577,3,74.30739617,1,74.21385577,73.78009435,75.20104779,73.73001692,74.02128462,74.02386283,73.96084408,2.573404025,90.0,72.37970525,74.30422826,74.49719173,2.380186119,271
81.95130168,81,chorphaka jaengkit,2024-12-19,2024,12,4,late_season,10,13,1272,0.0025,tlpga,76.19374555,15,29,0.852941176,tlpga,51,0.463636364,tlpga,51,0.335526316,thai,91,0.233333333,thai,75.25981448,3,72.29908816,1,75.25981448,76.88937744,77.02840929,75.68491287,76.54789666,75.31411655,77.03237352,2.653142021,140.0,75.76464214,76.38019311,76.4883165,2.249235687,526
