1_to_50_rd_mean_days_penalty_5x,1_to_50_rd_mean_days_penalty_10x,1_to_50_rd_mean_days_penalty_15x,1_to_50_rd_mean_days_penalty_20x,1_to_50_rd_mean_days_penalty_30x,1_to_100_rd_mean,1_to_100_rd_median,1_to_100_rd_sd,days_since_100_rd,1_to_100_rd_mean_days_penalty_15x,1_to_200_rd_mean,1_to_200_rd_median,1_to_200_rd_sd,days_since_200_rd,1_to_200_rd_mean_days_penalty_15x,1_to_500_rd_mean,1_to_500_rd_median,1_to_500_rd_sd,days_since_500_rd,1_to_500_rd_mean_days_penalty_15x,0_to_4Week_mean,0_to_4_week_rat_diff_av,0_to_4_week_sd,0_to_4Week_count,0_to_3_month_mean,0_to_3_month_median,0_to_3_month_weighted,0_to_3_month_rat_diff_av,0_to_3_month_sd,0_to_3_month_count,0_to_3_month_wd_percent,0_to_3_month_mean_count_penalised_1x,0_to_3_month_mean_count_penalised_1.5x,0_to_3_month_mean_count_penalised_2x,0_to_3_month_mean_count_penalised_3x,0_to_3_month_mean_count_penalised_5x,0_to_3_month_mean_count_penalised_10x,0_to_6_month_mean,0_to_6_month_median,0_to_6_month_weighted,0_to_6_month_rat_diff_av,0_to_6_month_sd,0_to_6_month_count,0_to_6_month_wd_percent,0_to_6_month_mean_count_penalised_1x
73.89985552,73.57087967,73.24190382,72.91292798,72.25497628,74.18607659,74.52158834,2.683092848,546,73.54413585,73.97156196,74.257634,2.721837214,1154.0,73.53000335,74.57428457,74.54266823,4.582610847,,,73.55421521,-0.532311683,1.663656564,5,73.81138067,73.57298412,73.59817628,-0.124091726,2.600079491,21,0.0,74.02959856,74.13870751,74.24781645,74.46603434,74.90247012,75.99355958,74.47186102,74.6419935,74.20519865,0.393106359,2.45113486,38,0.026315789,74.63408245
72.82959055,72.49094782,72.15230509,71.81366236,71.13637689,73.35923866,73.62792151,2.829707526,511,72.69567772,72.97731266,73.05651958,2.693750668,1001.0,72.503208,73.06620544,73.07838888,2.711705421,2758.0,72.78058181,73.34620696,0.087906665,3.111949303,5,73.48527094,73.62126149,73.70850288,0.366571003,2.675944136,22,0.0,73.69847166,73.80507202,73.91167237,74.12487309,74.55127452,75.61727811,73.09722796,73.58590202,73.38145767,-0.207334295,2.608283745,43,0.0,73.24972653
75.51486453,75.34965988,75.18445523,75.01925058,74.68884128,75.05081548,74.66638186,2.653990415,1491,74.66234999,74.25983414,74.19029068,2.85501766,2701.0,73.97121245,74.14012574,74.10655759,5.653376916,,,74.57666489,-1.703487385,1.746727147,5,76.2848369,76.08954668,75.93563,0.213369001,3.403199159,15,0.0,76.54303579,76.67213523,76.80123468,77.05943357,77.57583135,78.8668258,76.36217935,76.11950447,76.1962173,0.364205084,3.110609014,21,0.0,76.58039724
72.201622,71.91294687,71.62427173,71.3355966,70.75824633,72.56957842,72.8584741,2.719301388,581,71.94727356,72.84850191,72.97569256,2.687002691,1612.0,72.4749003,73.01911174,73.00967771,2.857534602,3752.0,72.77422806,75.39817236,3.184064153,1.962418253,5,72.39036307,72.79783781,73.52347288,0.071904593,3.082353769,22,0.0,72.60356379,72.71016415,72.81676451,73.02996522,73.45636666,74.52237024,72.67983142,72.8456015,72.83356849,0.338058157,3.059687134,29,0.0,72.86552676
70.93360903,70.55564456,70.17768009,69.79971561,69.04378667,71.49049192,71.69855451,2.895529614,308,70.6357876,71.76950893,71.91573296,2.878330544,825.0,71.24727597,72.16863542,72.17722162,2.773217163,2353.0,71.85940636,71.56060036,0.066699978,1.044379459,2,71.5358821,71.97269411,71.53820551,0.014403275,3.215757944,23,0.0,71.74439652,71.84865372,71.95291093,72.16142535,72.57845417,73.62102624,71.27531621,71.47105672,71.45570124,-0.303218738,2.946494353,55,0.0,71.41015618
71.1680796,70.80910052,70.45012144,70.09114236,69.3731842,71.6787062,71.83783568,2.429487161,421,70.94765093,71.88236303,72.0929477,2.374086627,874.0,71.37498046,71.85383994,71.97243727,2.472955101,2352.0,71.54454516,72.07406306,0.304075992,2.521942866,2,71.60021129,71.85110064,71.72019778,-0.149891037,2.119581198,23,0.0,71.8087257,71.91298291,72.01724011,72.22575453,72.64278336,73.68535543,71.40461062,71.63024531,71.47782244,-0.366242137,2.235155282,45,0.0,71.55368182
76.30437995,76.16473476,76.02508956,75.88544437,75.60615398,76.19734347,75.7716396,3.300851196,2351,75.88798291,74.5111953,74.30325795,3.438287697,2794.0,74.22741774,72.97849356,72.77457011,3.334147809,4158.0,72.74587251,75.93429451,-0.450678712,1.493156316,4,74.77396727,74.9832118,75.04887446,-1.873818969,1.577789833,13,0.0,75.05131736,75.18999241,75.32866746,75.60601756,76.16071776,77.54746825,75.15052502,75.26306423,75.00398898,-1.701628463,2.380194175,21,0.0,75.36874291
72.60587518,72.23422811,71.86258104,71.49093396,70.74763982,73.12981899,72.77298175,2.681612007,440,72.41472205,73.26166034,73.07941366,2.523578929,923.0,72.76792932,73.81979911,73.57843093,4.719537073,,,76.10586,3.081267728,2.543411938,2,73.05466178,72.84415195,73.48871252,-0.250068759,2.203532215,22,0.0,73.26786249,73.37446285,73.48106321,73.69426393,74.12066536,75.18666894,73.09933175,72.84415195,73.0540035,-0.031276549,2.390711729,51,0.019607843,73.23935976
74.00049989,73.69677152,73.39304315,73.08931478,72.48185804,74.22961446,74.53109785,2.663205475,557,73.59404406,73.98135397,74.257634,2.713961256,1154.0,73.53979536,74.58265995,74.54524596,4.584585337,,,74.23724087,0.150572681,0.761693635,4,73.96084408,73.94019015,73.91480077,-0.143143876,2.573404025,20,0.0,74.18445088,74.29625428,74.40805767,74.63166447,75.07887807,76.19691206,74.57050288,74.8234455,74.3926392,0.491942994,2.407266869,37,0.027027027,74.73490186
76.16218275,75.94417239,75.72616203,75.50815167,75.07213095,76.04821883,75.90628548,2.58869243,994,75.57244772,75.77796887,75.55959329,2.890373007,2066.0,75.44795963,75.78065578,75.6677734,4.853651766,,,74.5196329,-2.002293098,1.694819533,4,76.62863461,76.96324336,75.78104189,-0.075107596,2.683537225,16,0.0,76.87863461,77.00363461,77.12863461,77.37863461,77.87863461,79.12863461,76.91434828,77.57150106,76.56101137,0.340071612,2.641918533,21,0.0,77.13256617
72.74025711,72.40161438,72.06297165,71.72432892,71.04704346,73.33135894,73.62792151,2.80819611,511,72.667798,72.95028917,73.03585134,2.68135689,1001.0,72.47618451,73.05613376,73.05651958,2.706812733,2764.0,72.77082031,72.45961386,-0.80172576,2.769835578,4,73.32301816,73.62126149,73.31021846,0.001690413,2.571881899,21,0.0,73.54123605,73.650345,73.75945394,73.97767183,74.41410761,75.50519706,73.00686245,73.49795134,73.2007353,-0.29909074,2.570870551,42,0.0,73.1611658
75.55068327,75.38547862,75.22027397,75.05506932,74.72466002,75.02906353,74.66638186,2.672718634,1491,74.64059804,74.26602536,74.22092501,2.855483015,2701.0,73.97740367,74.14136059,74.11329352,5.665706524,,,74.75649462,-1.555817869,1.962774249,4,76.45822911,76.27371574,76.22314768,0.392478605,3.46222564,14,0.0,76.72549035,76.85912097,76.99275159,77.26001283,77.79453532,79.13084153,76.48742102,76.28869463,76.37999015,0.49712361,3.136624643,20,0.0,76.71102782
72.13751881,71.84884368,71.56016854,71.27149341,70.69414314,72.53732814,72.84182277,2.735073059,581,71.91502328,72.85079671,73.00967771,2.68719912,1623.0,72.47846331,73.02491074,73.03204099,2.860140327,3752.0,72.78002706,76.03631508,3.860641914,1.555615533,4,72.36868505,72.75007412,73.56596754,0.052578473,3.156753785,21,0.0,72.58690294,72.69601189,72.80512083,73.02333872,73.4597745,74.55086396,72.67391106,73.0953729,72.83132139,0.333069052,3.115663706,28,0.0,72.86289329
70.89666396,70.51869949,70.14073502,69.76277054,69.0068416,71.46673438,71.69855451,2.910775275,308,70.61203006,71.77509688,71.94857361,2.877566775,825.0,71.25286391,72.15937655,72.17722162,2.785423005,2356.0,71.85034443,72.29908816,0.809077572,,1,71.56832617,71.97269411,71.65822286,0.242969654,3.33450424,22,0.0,71.78152689,71.88812725,71.99472761,72.20792832,72.63432975,73.70033334,71.22941417,71.54992536,71.4822444,-0.355021977,2.973644883,54,0.0,71.36549693
