0_to_10_year_mean,0_to_10_year_rat_diff_av,0_to_10_year_count,0_to_10_year_wd_percent,0_to_10_year_sd_adj,0_to_10_year_sd_diff,0_to_10_year_diff_skew,0_to_10_year_shape,0_to_10_year_scale,0_to_10_year_loc,year_minus_0_mean,year_minus_0_sd,year_minus_0_count,year_minus_0_mean_count_penalised_2x,year_minus_1_mean,year_minus_1_sd,year_minus_1_count,year_minus_1_mean_count_penalised_2x,year_minus_2_mean,year_minus_2_sd,year_minus_2_count,year_minus_2_mean_count_penalised_2x,year_minus_3_mean,year_minus_3_sd,year_minus_3_count,year_minus_3_mean_count_penalised_2x,year_minus_4_mean,year_minus_4_count,year_minus_5_mean,year_minus_5_count,year_minus_6_mean,year_minus_7_mean,year_minus_8_mean,year_minus_9_mean,year_minus_10_mean,4_to_6_month_mean,7_to_9_month_mean,10_to_12_month_mean,13_to_15_month_mean,16_to_18_month_mean,19_to_21_month_mean,22_to_24_month_mean,days_since_median_rd,days_since_first_rd
74.39913575,0.020295664,449,0.008908686,2.71660094,2.740695285,0.142530656,1.018412457,3.333687824,-1.877614729,73.89865941,2.667376987,64,74.14865941,74.07401924,2.6255835,70,74.31306496,74.13141815,2.980714017,56,74.39867939,73.42364084,2.305404722,23,73.84066967,74.01537545,21,74.51926588,69,74.97498302,75.80792681,76.20390453,71.74587117,73.34388715,74.52052396,73.87267505,75.03028769,74.09181178,74.42662552,73.34870231,71.80764084,1581,5845
72.92226979,-0.007251286,818,0.002444988,2.698030647,2.727618706,0.105222136,0.890213849,3.217790196,-1.714374579,73.12412353,2.344676951,64,73.37412353,73.05168966,3.072065442,74,73.28418494,72.64688035,2.460241072,74,72.87937563,72.30931954,2.926658521,66,72.55550252,73.64736677,20,73.75063066,77,73.22503987,73.01685364,72.86148644,72.30575292,73.46936316,72.6033022,73.37687726,75.22402882,73.53458532,72.09865962,72.30804247,74.49859275,2379,6426
74.14012574,0.378462796,230,0.0,2.865346499,2.733677144,0.482854236,2.107421811,3.94416406,-2.464676209,76.08199125,3.093675003,33,76.43014656,,,0,,74.85466449,2.232271178,26,75.24689676,74.30626797,2.360781092,38,74.63071082,73.98050361,16,72.67586454,54,75.02018696,73.55988994,,,,77.04207888,79.61672454,74.44750015,,,,,1910,2821
72.98890411,-0.00366546,726,0.002754821,2.703553942,2.731579314,0.077430489,0.78312343,3.137484423,-1.547130055,72.4571272,2.769177498,55,72.72680714,72.66069802,2.778411354,70,72.89974374,73.06755433,2.672316586,30,73.4327027,73.17621871,2.834925717,27,73.56111889,73.69508264,30,72.87014802,54,73.16803888,74.0667596,73.02549857,72.83037626,73.35885222,73.58958907,71.38591672,72.15112319,73.17161158,72.38626763,72.16340812,71.74447315,3030,6266
72.51509958,-0.114460797,975,0.002051282,2.870561033,2.879568749,-0.036941901,,,,71.49135516,2.893173119,105,71.68653517,71.84577366,2.897017834,83,72.06530218,72.05739187,2.315496011,64,72.30739187,72.53316014,2.671151116,64,72.78316014,72.29145684,47,72.71985526,90,72.5632836,72.43786209,73.28226684,74.07249643,73.6719909,70.6117217,71.55901134,71.93320817,72.09728714,72.08013621,71.18660141,74.87126236,2315,5012
71.92843121,-0.054436992,943,0.0,2.368523645,2.379269191,0.0857384,0.816608685,2.755973687,-1.445288917,71.75752625,2.449075815,89,71.96952583,71.93452685,2.315354392,79,72.15954443,71.9896833,2.282488926,77,72.21760445,71.77897276,2.727038153,83,71.99850128,72.73049293,14,71.83436358,110,71.59354054,71.85719419,72.83977609,71.85606692,73.45111114,71.36491547,72.48763029,72.48108639,70.88183094,71.76762588,72.14477995,71.67397407,2259,4758
73.37899939,-0.286631114,1073,0.002795899,3.439422888,2.843366854,0.183510936,1.148340187,3.559939946,-2.42869492,76.12579223,3.110520863,37,76.45459021,77.69284479,1.910252067,7,78.44877374,,,0,,78.40550907,3.103519746,19,78.86434053,77.6296775,9,74.71685486,16,72.61371724,73.03604789,72.94991396,71.27919951,71.74734041,76.52966728,76.85039229,78.70970403,76.7727877,,,,4296,7379
73.81979911,-0.032477475,390,0.002564103,2.523391032,2.542818623,0.120665348,0.944889747,3.03986878,-1.698273277,73.08883563,2.753844694,86,73.30450117,73.53787124,2.678005963,61,73.793945,73.30032235,2.041991773,74,73.53281763,72.7450506,2.490152251,39,73.06530691,74.83496603,14,74.0193959,22,74.48879313,74.69028115,75.79574244,76.3413028,,73.04954864,74.13030886,72.78630465,72.52306941,73.53874119,73.00947465,75.16879316,910,3599
74.40779682,0.034390706,448,0.008928571,2.707137952,2.730015615,0.138372123,1.004715977,3.310161689,-1.837556182,73.94749349,2.659806319,63,74.19946981,74.07401924,2.6255835,70,74.31306496,74.13141815,2.980714017,56,74.39867939,73.42364084,2.305404722,23,73.84066967,74.01537545,21,74.51926588,69,74.97498302,75.80792681,76.20390453,71.74587117,73.34388715,74.52052396,73.87267505,75.03028769,74.09181178,74.65712354,73.47671071,71.80764084,1580,5844
75.78065578,0.037112263,390,0.0,2.885359897,2.97770193,0.139572238,1.008680994,3.613814771,-2.010556757,76.34996743,2.466933966,34,76.6929646,75.83474877,2.69646686,50,76.11759148,75.89017816,2.537090177,26,76.28241043,79.89518472,2.047179153,9,80.56185139,75.73377419,33,74.8953717,61,75.41431942,75.8635927,75.86737572,77.13716223,,77.03642269,75.77811227,76.28161429,78.45966914,75.77267385,75.77260979,76.36813112,2036,3305
